Nurse#0,3,3,4,4,4,4,4,4,0,0,4,0,0,4,4,4,1,4,4,4,1,4,0,1,4,4,0,4,1,1,4,0,0,4,1,4,1,0,0,1,3,4,
Nurse#1,2,2,3,3,4,4,4,0,4,4,4,2,4,4,4,0,2,2,4,3,3,4,4,0,2,2,4,2,4,0,1,2,4,0,2,4,4,1,0,1,0,2,
Nurse#2,4,4,0,0,3,3,3,4,4,1,1,4,4,2,3,3,4,4,1,0,4,1,2,2,4,0,1,1,1,2,2,4,2,2,4,1,0,0,2,4,2,4,
Nurse#3,0,0,4,4,4,0,0,2,2,2,4,1,3,3,4,4,1,0,4,4,1,0,1,4,2,4,4,4,4,1,1,1,1,4,1,0,2,2,4,0,1,1,
Nurse#4,0,0,0,4,4,0,0,0,0,4,1,0,4,1,0,0,2,2,4,4,4,0,4,0,0,4,4,2,2,2,4,0,0,1,0,2,4,3,3,3,4,4,
Nurse#5,2,4,4,4,0,2,2,2,4,1,4,0,0,4,1,4,4,2,4,2,4,3,3,4,4,4,4,4,0,0,1,1,0,1,4,2,2,4,1,4,0,4,
Nurse#6,2,2,4,4,2,2,2,2,4,0,0,1,4,4,1,2,4,1,0,4,4,1,1,2,4,1,3,3,4,4,0,2,4,0,4,1,0,0,1,0,2,4,
Nurse#7,4,4,4,0,0,1,1,3,3,4,4,4,4,0,2,2,4,1,1,0,4,1,2,4,4,1,4,1,1,4,0,1,2,4,4,0,0,4,0,2,4,0,
Nurse#8,4,4,0,0,0,1,1,4,1,2,2,2,4,0,4,0,2,4,2,4,4,0,2,3,3,3,4,4,4,1,0,0,1,4,4,1,1,2,2,2,4,0,
Nurse#9,0,0,2,2,2,4,4,0,0,3,3,3,4,4,2,4,4,1,4,4,0,4,1,2,2,2,2,4,2,2,2,4,2,2,2,4,4,2,4,1,1,2,
Nurse#10,1,2,2,2,4,4,4,1,2,4,2,4,1,1,0,1,0,4,2,4,0,4,0,4,1,1,2,4,0,0,3,3,3,4,4,0,2,4,1,0,4,4,
Nurse#11,4,1,2,2,2,4,4,1,2,2,2,4,4,4,1,1,1,4,0,1,2,2,4,1,0,0,1,0,0,4,2,2,4,4,4,4,1,1,2,4,4,3,
Nurse#12,1,1,1,1,1,4,4,4,1,4,0,4,2,4,0,2,4,0,1,2,2,4,4,4,1,4,4,4,3,3,4,4,1,4,0,2,4,1,4,2,4,1,
Nurse#13,1,1,1,4,4,4,4,4,4,1,1,4,1,2,4,1,3,3,3,4,4,4,0,0,1,2,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Nurse#14,4,4,4,1,1,4,4,1,1,0,0,1,2,4,4,4,0,0,0,1,4,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,
Nurse#15,4,4,1,1,1,4,4,2,4,4,4,2,4,4,2,4,0,4,2,4,4,2,4,1,0,0,0,4,2,4,4,4,4,4,4,3,3,4,4,4,4,4,
